ST_FIPS,Munic_FIPS,Year,Population,Combined_FIPS,Border_County,County,county_state,Border_State,state_name,Aggregate,Aggregate_Category,SFGR_Cases,SFGR_Inc,SFGR_Cases_Supp,SFGR_Inc_Supp,Ac_Syph_Cases,Ac_Syph_Inc,Ac_Syph_Cases_Supp,Ac_Syph_Inc_Supp,Gon_Cases,Gon_Inc,Gon_Cases_Supp,Gon_Inc_Supp,TB_Cases,TB_Inc,TB_Cases_Supp,TB_Inc_Supp,AIDS_Cases,AIDS_Inc,AIDS_Cases_Supp,AIDS_Inc_Supp,HepA_Cases,HepA_Inc,HepA_Cases_Supp,HepA_Inc_Supp,HepB_Cases,HepB_Inc,HepB_Cases_Supp,HepB_Inc_Supp,BinationBorn_Count,BinationBorn_Count_Supp,BinationBorn_Percent_Supp,BinationBorn_Percent,Country
26,054,2010,,26054,No,San Javier,"San Javier, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,054,2011,,26054,No,San Javier,"San Javier, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,054,2012,,26054,No,San Javier,"San Javier, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,054,2013,,26054,No,San Javier,"San Javier, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,054,2014,,26054,No,San Javier,"San Javier, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,054,2015,,26054,No,San Javier,"San Javier, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,054,2016,,26054,No,San Javier,"San Javier, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,054,2017,,26054,No,San Javier,"San Javier, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,054,2018,,26054,No,San Javier,"San Javier, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,054,2019,,26054,No,San Javier,"San Javier, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,054,2020,,26054,No,San Javier,"San Javier, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,055,2010,,26055,Yes,San Luis Río Colorado,"San Luis Río Colorado, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,055,2011,,26055,Yes,San Luis Río Colorado,"San Luis Río Colorado, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,055,2012,,26055,Yes,San Luis Río Colorado,"San Luis Río Colorado, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,055,2013,,26055,Yes,San Luis Río Colorado,"San Luis Río Colorado, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,055,2014,,26055,Yes,San Luis Río Colorado,"San Luis Río Colorado, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,055,2015,,26055,Yes,San Luis Río Colorado,"San Luis Río Colorado, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,055,2016,,26055,Yes,San Luis Río Colorado,"San Luis Río Colorado, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,055,2017,,26055,Yes,San Luis Río Colorado,"San Luis Río Colorado, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,055,2018,,26055,Yes,San Luis Río Colorado,"San Luis Río Colorado, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,055,2019,,26055,Yes,San Luis Río Colorado,"San Luis Río Colorado, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,055,2020,,26055,Yes,San Luis Río Colorado,"San Luis Río Colorado, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,056,2010,,26056,No,San Miguel de Horcasitas,"San Miguel de Horcasitas, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,056,2011,,26056,No,San Miguel de Horcasitas,"San Miguel de Horcasitas, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,056,2012,,26056,No,San Miguel de Horcasitas,"San Miguel de Horcasitas, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,056,2013,,26056,No,San Miguel de Horcasitas,"San Miguel de Horcasitas, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,056,2014,,26056,No,San Miguel de Horcasitas,"San Miguel de Horcasitas, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,056,2015,,26056,No,San Miguel de Horcasitas,"San Miguel de Horcasitas, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,056,2016,,26056,No,San Miguel de Horcasitas,"San Miguel de Horcasitas, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,056,2017,,26056,No,San Miguel de Horcasitas,"San Miguel de Horcasitas, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,056,2018,,26056,No,San Miguel de Horcasitas,"San Miguel de Horcasitas, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,056,2019,,26056,No,San Miguel de Horcasitas,"San Miguel de Horcasitas, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,056,2020,,26056,No,San Miguel de Horcasitas,"San Miguel de Horcasitas, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,057,2010,,26057,No,San Pedro de la Cueva,"San Pedro de la Cueva, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,057,2011,,26057,No,San Pedro de la Cueva,"San Pedro de la Cueva, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,057,2012,,26057,No,San Pedro de la Cueva,"San Pedro de la Cueva, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,057,2013,,26057,No,San Pedro de la Cueva,"San Pedro de la Cueva, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,057,2014,,26057,No,San Pedro de la Cueva,"San Pedro de la Cueva, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,057,2015,,26057,No,San Pedro de la Cueva,"San Pedro de la Cueva, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,057,2016,,26057,No,San Pedro de la Cueva,"San Pedro de la Cueva, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,057,2017,,26057,No,San Pedro de la Cueva,"San Pedro de la Cueva, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,057,2018,,26057,No,San Pedro de la Cueva,"San Pedro de la Cueva, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,057,2019,,26057,No,San Pedro de la Cueva,"San Pedro de la Cueva, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,057,2020,,26057,No,San Pedro de la Cueva,"San Pedro de la Cueva, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,058,2010,,26058,Yes,Santa Ana,"Santa Ana, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,058,2011,,26058,Yes,Santa Ana,"Santa Ana, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,058,2012,,26058,Yes,Santa Ana,"Santa Ana, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,058,2013,,26058,Yes,Santa Ana,"Santa Ana, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,058,2014,,26058,Yes,Santa Ana,"Santa Ana, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,058,2015,,26058,Yes,Santa Ana,"Santa Ana, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,058,2016,,26058,Yes,Santa Ana,"Santa Ana, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,058,2017,,26058,Yes,Santa Ana,"Santa Ana, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,058,2018,,26058,Yes,Santa Ana,"Santa Ana, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,058,2019,,26058,Yes,Santa Ana,"Santa Ana, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,058,2020,,26058,Yes,Santa Ana,"Santa Ana, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,059,2010,,26059,Yes,Santa Cruz,"Santa Cruz, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,059,2011,,26059,Yes,Santa Cruz,"Santa Cruz, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,059,2012,,26059,Yes,Santa Cruz,"Santa Cruz, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,059,2013,,26059,Yes,Santa Cruz,"Santa Cruz, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,059,2014,,26059,Yes,Santa Cruz,"Santa Cruz, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,059,2015,,26059,Yes,Santa Cruz,"Santa Cruz, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,059,2016,,26059,Yes,Santa Cruz,"Santa Cruz, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,059,2017,,26059,Yes,Santa Cruz,"Santa Cruz, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,059,2018,,26059,Yes,Santa Cruz,"Santa Cruz, Sonora",,Sonora,Border Counties,1,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
